%0
171.5625,-6.1875,0.6250,-0.53,0.63,-1.07
172.0625,-5.1875,-0.3125,0.04,0.69,-0.23
171.6250,-4.1875,-0.9375,-0.08,-0.09,-0.70

%0
170.6250,-1.8125,-4.6250,0.08,0.02,-0.01
170.7500,-1.8125,-4.6875,0.03,0.21,0.29
170.7500,-1.6875,-4.6875,-0.10,-0.11,-0.06
170.7500,-1.6875,-4.6875,-0.01,-0.09,0.09
170.8750,-1.6875,-4.6875,0.04,0.15,-0.12
171.0000,-1.6875,-4.8125,0.02,0.13,0.09
170.8750,-1.7500,-4.8125,0.01,0.10,0.34
170.7500,-1.7500,-4.8125,0.00,-0.08,0.24
170.8125,-1.7500,-4.9375,0.00,0.02,0.13
170.7500,-1.7500,-5.1875,0.11,-0.24,-0.39
170.5625,-1.7500,-5.6875,0.26,-2.91,-1.86
171.8750,-2.6875,-6.3125,1.37,-6.05,1.74
176.0625,-3.7500,-8.1250,-0.24,-5.05,6.77
183.3125,-2.4375,-13.0625,0.08,6.16,9.56
188.8125,1.7500,-17.6250,-4.10,11.10,4.98
191.4375,6.6250,-20.8750,-5.11,9.84,-5.25
189.1875,12.6250,-21.6875,-7.36,4.66,-7.96
183.1875,17.3750,-20.0625,-6.95,-1.10,-11.44
173.1875,19.7500,-17.0000,-5.22,-9.45,-11.73
164.5625,16.8750,-11.2500,-1.91,-15.78,-9.68
160.0625,7.4375,-9.0000,-1.46,-14.18,2.65
163.0000,-2.6875,-5.1875,-2.77,0.80,19.57
168.6250,-7.3125,-5.0625,-2.43,6.71,11.14
173.8750,-6.4375,-4.5000,1.36,5.53,0.49
174.5625,-4.0000,-3.5000,0.28,2.34,-1.53
175.3125,-3.1875,-3.5625,-0.26,0.39,-0.78

%0
173.4375,0.4375,-7.7500,-0.06,-0.19,0.13
173.5625,0.4375,-7.8750,0.00,0.19,-0.45
173.5625,0.5000,-7.9375,0.03,0.05,-0.06
173.5000,0.5000,-8.0000,-0.01,0.10,-0.08
173.5000,0.4375,-8.0000,0.10,-0.01,0.04
173.5000,0.5000,-8.0000,-0.09,-0.06,0.00
173.5000,0.5000,-7.9375,-0.02,0.01,0.03
