GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: 089_3
InfoText: This data contains the initial training samples collected, in the format x_orientation, y_orientation, z_orientation, x_accel, y_accel, z_accel.
NumDimensions: 3
TotalNumTrainingExamples: 225
NumberOfClasses: 3
ClassIDsAndCounters: 
1	75
2	75
3	75
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
-0.5	1.94	-3.99
-0.85	-1.05	-4.01
-0.62	-3.41	-2.43
-0.28	-2.39	-5.31
-1.6	-6.23	-1.53
-1.03	-5.45	-0.54
-0.58	-2.53	-1.25
-1.27	-7.65	2.76
-1.04	-5.95	6.66
-0.7	-1.96	3.78
-0.57	-2.84	7.3
-0.46	1.55	8.69
-1.26	1.96	7.75
-0.82	4.88	5.83
-0.81	3.98	2.75
-1.23	3.75	2.04
-2.69	5.73	-0.9
-2.89	5.28	-1.89
-2.71	2.75	-2.41
-0.82	0.31	-3.25
-0.51	-0.15	-3.14
-0.98	-3.1	-2.39
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 26
TimeSeriesData: 
2.25	1.36	2.28
-0.74	1.95	5.55
-2.64	5.97	-0.24
-1.02	4.01	-3.51
-3.2	3.21	-4.51
-1.14	1.31	-4.92
-1.03	-2.58	-3.33
-0.02	-3.05	-5.04
-1.26	-2.32	-2.6
-0.48	-5.09	-1.09
-0.78	-3.9	-1.95
-0.74	-1.58	-0.01
-1.06	-6.76	5.7
1.49	-4.7	4.49
-0.04	-1.01	5.38
1.34	-3.37	6.02
1.34	-1.5	6.04
-0.5	0.08	5.25
-0.71	3.36	6.03
-1.25	7.25	2.24
-0.93	6.28	1.68
-2.64	5.5	1.47
-0.97	2.53	-2.25
-1.21	2.96	-2.21
-2.63	0.33	-1.68
-0.74	-0.75	-2.54
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 28
TimeSeriesData: 
1.66	-0.92	0.86
-0.27	1.2	2.44
-0.41	6.54	0
-1.08	5.4	-1.34
-2.85	3	-1.94
-1.11	1.91	-5.52
-0.74	-2.64	-4.45
-0.35	-2.29	-6.05
-0.72	-8.17	-1.16
-1.28	-3.14	-3.07
-1.19	-2.78	0.81
-0.35	-5.81	3.03
1.77	-6.18	5.51
1.72	-4.22	4.95
-0.49	-1.82	5.71
-0.25	-1.96	4.51
-1.15	2.53	5.13
-1	2.76	5.4
-0.03	4.48	4.18
-0.68	4.9	3.17
-0.83	5.6	0.17
-0.6	5.02	-2.76
-1.16	3.03	-0.91
-0.66	2.88	-3.35
-0.59	-0.35	-2.61
-0.16	-0.51	-3.22
-1.02	-3.44	-2.48
-0.1	-2.19	-4.17
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
-0.68	-325.57	1.92
-0.8	4.85	1.19
-2.73	5.52	3.74
-1.14	3.1	-3.26
-0.62	0.31	-3.42
-0.46	0.03	-5.62
-0.23	-2.89	-4.79
-0.16	-3.79	-2.57
-1.01	-2.61	-3.5
-0.12	-3.23	-3.12
-0.99	-7.37	1.85
-0.36	-1.24	-0.95
-0.84	-3.47	2.1
-0.1	-4.18	3.28
2.14	-2.58	4.13
1.3	-3.01	7.03
-0.47	1.38	7.74
-0.74	1.44	6.44
-0.31	4.64	5.01
-0.74	4.01	5.86
-1.12	6.28	1.94
-3.07	5.44	2.82
-1	4.97	-2.93
-0.92	2.51	-2.5
-3.56	3.3	-1.56
-2.59	0.53	-5
-1.24	-3.3	-4.34
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
-0.75	3.74	1.63
-0.24	6.71	0.08
-0.86	2.63	-1.6
-0.56	1.19	-4.32
-0.64	-0.15	-4.31
-1.07	-2.82	-3.96
-1.15	-4.51	-3.65
-0.37	-2.55	-5.06
-0.51	-6.38	-1.25
-0.86	-8.14	0.31
-0.01	-4.89	1.03
-0.17	-6.69	6.24
-0.92	-3.71	7.2
-1.05	0.81	8.71
-0.69	0.41	6.06
-0.11	2.05	4.92
-1.03	5.18	3.68
-3.13	2.36	8.45
-3.31	6.31	0.63
-3.01	4.29	-0.22
-3.18	6.07	-3.69
-2.65	2.1	-3.67
-0.23	0.18	-4.25
-0.29	-0.77	-1.96
-1.07	-2.63	-3.48
-0.82	-3.85	-1.47
-0.32	-3.46	-2.16
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
-0.31	1.33	2.12
-0.4	4.56	0.8
-0.59	6.33	2.61
-0.68	3.17	-3.19
-1.17	1.66	-4.71
-3	-1.16	-3.59
-0.8	-2.88	-7.61
-0.72	-2.82	-5.68
-1.09	-4.67	-1.59
0.04	-5.2	-0.1
1.92	-6.07	1.77
1.34	-9.42	7.21
-0.32	-3.07	2
-1.11	-2.51	6.43
-0.83	1.25	5.15
-0.01	2.36	9.42
-1.08	4.5	8.29
-0.59	4	5.93
-2.83	6.86	4.63
-3.44	5.45	2.94
-2.64	1.85	-2.56
-1.09	2.28	-5.27
-3.13	3.8	-2.24
-2.95	1.89	-1.21
-0.12	-1.74	-4.42
-0.19	-1.58	-1.8
-0.25	-4.49	-2.14
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 28
TimeSeriesData: 
-0.82	4.52	4.69
-1.15	6.22	1.71
-0.55	4.31	-3.99
-0.66	2.58	-4.57
-0.58	0.26	-4.75
-1.21	-1.57	-4.53
-0.5	-1.97	-2.36
-0.64	-1.84	-3.85
-1.83	-7.18	0.82
-0.63	-2.84	-2.6
-0.26	-5.07	1.17
-1.06	-2.45	4.25
1.28	-4.13	2.09
-0.42	-2.52	4.44
-0.63	0.42	7.94
1.9	-2.86	6.26
-0.23	0.01	5.8
-1.27	0.84	6.64
-1.03	4.02	2.88
-2.8	4.82	5.72
-0.96	5.69	1.22
-1	3.35	-0.11
-2.96	4.07	0.82
-1.26	1.78	-2.2
-1.11	0.78	-2.7
-1.27	1.9	-3.26
-0.29	-1.61	-4.33
-0.51	-6.8	-3.61
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
-0.49	4.05	2.29
-0.55	5.89	1.18
-0.65	4.08	-2.48
-0.54	1.54	-2.52
-1.21	-0.17	-4.96
-0.49	-1.73	-2.12
-0.69	-3.29	-2.44
-0.35	-3.32	-4.54
-0.77	-3.45	-0.92
-0.24	-2.71	1.62
-0.02	-4.8	1.15
-0.69	-6.75	3.51
1.55	-3.49	1.18
-0.74	-2.98	6
-0.56	-1.03	7.92
-0.04	1	5.19
-0.91	2.27	5.17
-0.1	4.31	4.4
-0.9	2.54	5.06
