-0.088134,-0.524647,0.812010,-0.108114,0.570969
-0.079881,-0.527261,0.827179,-0.096272,0.565380
-0.070118,-0.527821,0.839666,-0.083313,0.559625
-0.056996,-0.524507,0.851529,-0.066834,0.551074
-0.044531,-0.521359,0.862799,-0.051567,0.542961
-0.030766,-0.516444,0.873505,-0.035207,0.533676
-0.013843,-0.511776,0.881753,-0.015698,0.525835
0.004157,-0.505418,0.887665,0.004683,0.517595
0.021257,-0.499378,0.893282,0.023791,0.509635
0.039424,-0.491717,0.898618,0.043844,0.500280
0.056684,-0.484439,0.903687,0.062643,0.491268
0.076927,-0.473678,0.908503,0.084473,0.479145
0.098080,-0.461533,0.915001,0.106784,0.464874
0.120099,-0.448071,0.921174,0.129645,0.449413
0.146787,-0.431437,0.927038,0.157036,0.430864
0.172140,-0.415635,0.932609,0.182524,0.413053
0.201994,-0.392930,0.935979,0.212551,0.389404
0.236125,-0.367514,0.939180,0.246311,0.362713
0.272396,-0.339523,0.940298,0.281973,0.333840
0.306853,-0.312931,0.941360,0.315107,0.306122
0.339587,-0.287669,0.942369,0.345870,0.279659
0.372608,-0.261748,0.941404,0.376881,0.252987
0.403978,-0.235199,0.938565,0.406453,0.226237
0.431856,-0.209977,0.933944,0.433118,0.201304
0.454494,-0.186017,0.925708,0.456396,0.178459
0.462538,-0.165177,0.898654,0.475339,0.161996
0.464411,-0.147303,0.869106,0.490753,0.148386
0.460422,-0.130323,0.839112,0.501845,0.135328
0.452785,-0.114191,0.808695,0.510409,0.122589
0.439761,-0.102712,0.777875,0.514541,0.114443
0.421619,-0.095654,0.748597,0.512931,0.110877
0.404384,-0.088948,0.720783,0.511276,0.107211
0.388011,-0.082577,0.694359,0.509578,0.103446
0.366688,-0.080372,0.669256,0.501232,0.104932
0.342584,-0.082122,0.645409,0.487984,0.111919
0.313916,-0.085708,0.620831,0.468149,0.122583
0.282836,-0.091038,0.595558,0.443374,0.137214
0.241771,-0.099948,0.554242,0.411335,0.163810
0.195067,-0.112258,0.509222,0.365826,0.203027
0.141083,-0.127799,0.460684,0.297178,0.259281
0.082106,-0.146409,0.416496,0.194639,0.332114
0.022231,-0.166012,0.376441,0.058988,0.414706
-0.040419,-0.188481,0.342234,-0.117558,0.500487
-0.099936,-0.209826,0.309738,-0.312103,0.572643
-0.156478,-0.230104,0.278866,-0.511342,0.623757
-0.210192,-0.249368,0.249538,-0.700022,0.652594
-0.265067,-0.271515,0.223600,-0.870054,0.664261
-0.319122,-0.294477,0.206651,-0.996138,0.659033
-0.374320,-0.318215,0.194395,-1.091805,0.646340
-0.428680,-0.342689,0.184675,-1.164024,0.633296
-0.476477,-0.360170,0.175441,-1.217996,0.616970
-0.519961,-0.374854,0.164746,-1.263959,0.602121
-0.563194,-0.386880,0.156509,-1.299740,0.584667
-0.606188,-0.400229,0.148684,-1.330268,0.570187
-0.650879,-0.412909,0.143172,-1.354277,0.554689
-0.697181,-0.424956,0.139860,-1.372816,0.538674
-0.746937,-0.440247,0.136713,-1.389768,0.525413
-0.794206,-0.454773,0.133724,-1.403987,0.514033
-0.844880,-0.470496,0.130884,-1.417104,0.503085
-0.896867,-0.489279,0.130109,-1.426731,0.495049
-0.950100,-0.509046,0.133219,-1.431489,0.487820
-1.002595,-0.527824,0.138096,-1.433919,0.480726
-1.048619,-0.543741,0.146576,-1.431916,0.474419
-1.092342,-0.558861,0.154632,-1.430171,0.468887
-1.133879,-0.573226,0.162285,-1.428638,0.464003
-1.171416,-0.586872,0.167632,-1.428659,0.460396
-1.203230,-0.595990,0.168866,-1.431363,0.456033
-1.229607,-0.602729,0.168115,-1.434916,0.452112
-1.250819,-0.609131,0.165478,-1.439264,0.449777
-1.257508,-0.609444,0.155281,-1.447935,0.448325
-1.258095,-0.607818,0.147517,-1.454075,0.447389
-1.256728,-0.604350,0.140141,-1.459742,0.445836
-1.255430,-0.601056,0.133134,-1.465144,0.444341
-1.252274,-0.596003,0.128401,-1.468619,0.442186
-1.247353,-0.587357,0.127750,-1.468735,0.438076
-1.242677,-0.579143,0.127132,-1.468846,0.434126
-1.236313,-0.571339,0.132314,-1.464179,0.430732
-1.230266,-0.565849,0.144929,-1.453534,0.428479
-1.224522,-0.556788,0.168451,-1.434089,0.423233
-1.217142,-0.542410,0.194644,-1.412220,0.414549
-1.210131,-0.528751,0.219527,-1.391340,0.406030
-1.203471,-0.515775,0.243166,-1.371426,0.397699
-1.185605,-0.501524,0.271393,-1.345767,0.391104
-1.162863,-0.487987,0.296285,-1.321316,0.386226
-1.141259,-0.475126,0.319932,-1.297479,0.381251
-1.114965,-0.459062,0.340474,-1.274423,0.375130
-1.082294,-0.436109,0.358065,-1.251292,0.365379
-1.051256,-0.414303,0.374778,-1.228339,0.355451
-0.992924,-0.378204,0.386808,-1.199318,0.341050
-0.937508,-0.343909,0.398237,-1.169110,0.325616
-0.877171,-0.309406,0.409094,-1.134406,0.309407
-0.814082,-0.278551,0.423255,-1.091343,0.294743
-0.754147,-0.249239,0.436707,-1.045905,0.278563
-0.697209,-0.221392,0.449488,-0.998159,0.260806
-0.639272,-0.193015,0.461629,-0.945381,0.240060
-0.584231,-0.166056,0.473162,-0.890054,0.217387
-0.530020,-0.138523,0.486043,-0.828653,0.190293
-0.478519,-0.116212,0.507895,-0.755626,0.165024
-0.431516,-0.096940,0.532500,-0.681025,0.140505
-0.386863,-0.082477,0.559721,-0.604776,0.120630
-0.340597,-0.066815,0.581735,-0.529678,0.098794
-0.294721,-0.050013,0.600725,-0.456106,0.074605
