0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.912500000000004474e-03,2.585000000000017839e-04,4.583333333333383663e-04
1.880000000000013605e-03,2.540000000000042224e-04,4.506666666666547805e-04
2.081668171172168513e-17,6.938893903907228378e-18,0.000000000000000000e+00
-3.634999999999971587e-03,-1.452499999999988523e-03,-8.711666666666451064e-04
-8.937499999999966305e-03,-4.043499999999984607e-03,-2.142333333333301670e-03
-1.582399999999996310e-02,-7.716499999999980319e-03,-3.792999999999990823e-03
-2.229249999999995818e-02,-1.145549999999997959e-02,-5.804666666666680186e-03
-2.836349999999995819e-02,-1.525699999999997891e-02,-8.158833333333337379e-03
-3.405749999999995586e-02,-1.911849999999997579e-02,-1.276149999999998119e-02
-3.939249999999995533e-02,-2.303649999999997366e-02,-1.950066666666666615e-02
-4.534849999999995135e-02,-2.700849999999997003e-02,-2.826933333333331300e-02
-5.189449999999994068e-02,-3.103149999999996883e-02,-3.896549999999998626e-02
-5.803949999999993142e-02,-3.510299999999996756e-02,-5.149316666666664544e-02
-6.380299999999992921e-02,-3.922049999999996373e-02,-6.576083333333332392e-02
-6.920449999999991886e-02,-4.338199999999996226e-02,-7.975850000000000994e-02
-7.426249999999992579e-02,-4.758499999999996066e-02,-9.349966666666664761e-02
-7.899349999999991101e-02,-5.182749999999995694e-02,-1.069968333333333188e-01
-8.341399999999990489e-02,-5.610799999999995652e-02,-1.202624999999999944e-01
-8.850099999999988531e-02,-6.042399999999994997e-02,-1.333081666666666720e-01
-9.422149999999987480e-02,-6.477399999999994273e-02,-1.451833333333333309e-01
-1.005434999999998691e-01,-6.915599999999993974e-02,-1.559464999999999879e-01
-1.074374999999998526e-01,-7.356899999999994000e-02,-1.656531666666666291e-01
-1.148744999999998517e-01,-7.801099999999994150e-02,-1.733948333333332759e-01
-1.228269999999998530e-01,-8.248049999999992887e-02,-1.792694999999999150e-01
-1.303079999999998406e-01,-8.601449999999992435e-02,-1.814476666666665627e-01
-1.373409999999998243e-01,-8.865999999999991943e-02,-1.801138333333332509e-01
-1.439484999999998127e-01,-9.046149999999991698e-02,-1.754439999999999333e-01
-1.501519999999998134e-01,-9.146099999999990349e-02,-1.676046666666665685e-01
-1.569329999999997949e-01,-9.169899999999989171e-02,-1.557928333333332138e-01
-1.642624999999997837e-01,-9.121299999999989139e-02,-1.402069999999999150e-01
-1.721134999999997806e-01,-8.907799999999987950e-02,-1.200746666666666074e-01
-1.804594999999997729e-01,-8.537649999999988304e-02,-9.562283333333326807e-02
-1.902374999999997540e-01,-8.114849999999987351e-02,-6.706799999999996098e-02
-2.013754999999997353e-01,-7.641999999999987692e-02,-3.461466666666662695e-02
-2.157289999999997265e-01,-7.025449999999987261e-02,-3.813333333332891151e-04
-2.331369999999997333e-01,-6.272399999999986320e-02,3.554350000000000565e-02
-2.553699999999997083e-01,-5.389649999999986119e-02,7.211333333333330708e-02
-2.821869999999996881e-01,-4.383699999999986219e-02,1.092961666666666942e-01
-3.133584999999997067e-01,-3.260699999999985832e-02,1.460994999999999933e-01
-3.486664999999997128e-01,-2.026549999999985308e-02,1.825423333333333065e-01
-3.879044999999997079e-01,-6.867499999999849419e-03,2.215276666666666228e-01
-4.308759999999997037e-01,7.534000000000155156e-03,2.629279999999999951e-01
-4.773944999999997219e-01,2.288850000000015872e-02,3.095073333333333010e-01
-5.272824999999997653e-01,3.914900000000016284e-02,3.610066666666666424e-01
-5.794099999999997586e-01,5.626950000000016661e-02,4.219879999999999742e-01
-6.336649999999997007e-01,7.420750000000017610e-02,4.919768333333333632e-01
-6.899409999999996934e-01,9.292200000000017113e-02,5.705231666666668033e-01
-7.481369999999997189e-01,1.123740000000001682e-01,6.600835000000001562e-01
-8.081569999999996812e-01,1.325270000000001724e-01,7.601068333333335092e-01
-8.699099999999996280e-01,1.533455000000001900e-01,8.700706666666668809e-01
