-0.114514,-0.066417,0.980186,-0.116301,0.067201
-0.118404,-0.066943,0.979254,-0.120328,0.067763
-0.122099,-0.067442,0.978368,-0.124156,0.068296
-0.125609,-0.069839,0.977527,-0.127797,0.070744
-0.128944,-0.072116,0.976727,-0.131258,0.073069
-0.132112,-0.074280,0.975968,-0.134548,0.075278
-0.131276,-0.074412,0.975246,-0.133804,0.075475
-0.130481,-0.074537,0.974561,-0.133096,0.075662
-0.129727,-0.074657,0.970064,-0.132941,0.076134
-0.129009,-0.074770,0.965791,-0.132793,0.076587
-0.130251,-0.074878,0.961732,-0.134615,0.077000
-0.131431,-0.074980,0.957877,-0.136359,0.077396
-0.130629,-0.075077,0.954214,-0.136051,0.077795
-0.129866,-0.075169,0.950734,-0.135756,0.078177
-0.129142,-0.075257,0.951274,-0.134932,0.078233
-0.128455,-0.075340,0.951787,-0.134151,0.078285
-0.127801,-0.075419,0.952275,-0.133409,0.078335
-0.127180,-0.075495,0.952738,-0.132705,0.078382
-0.128513,-0.075566,0.953178,-0.134018,0.078406
-0.129780,-0.075634,0.955519,-0.134996,0.078274
-0.130983,-0.075698,0.957743,-0.135919,0.078150
-0.132127,-0.075760,0.959856,-0.136793,0.078032
-0.133213,-0.075818,0.963786,-0.137348,0.077769
-0.134244,-0.075873,0.967520,-0.137871,0.077520
-0.133301,-0.074002,0.974913,-0.135889,0.075066
-0.132405,-0.072225,0.981937,-0.134033,0.072766
-0.131554,-0.070537,0.988609,-0.132293,0.070609
-0.130746,-0.068933,0.994948,-0.130661,0.068585
-0.131901,-0.067410,1.002893,-0.130770,0.066543
-0.132998,-0.065962,1.010441,-0.130872,0.064632
-0.134041,-0.062664,1.019534,-0.130723,0.060864
-0.135031,-0.059531,1.028173,-0.130584,0.057344
-0.137895,-0.058478,1.036379,-0.132277,0.055874
-0.140615,-0.057477,1.044176,-0.133861,0.054499
-0.147046,-0.054603,1.047736,-0.139436,0.051564
-0.153155,-0.051873,1.051119,-0.144689,0.048796
-0.162805,-0.049279,1.052409,-0.153481,0.046242
-0.171973,-0.046815,1.053635,-0.161792,0.043824
-0.180682,-0.044474,1.052876,-0.169952,0.041608
-0.188955,-0.042251,1.052155,-0.177695,0.039503
-0.196815,-0.040138,1.057240,-0.184053,0.037307
-0.204282,-0.038131,1.062070,-0.190023,0.035242
-0.211376,-0.036225,1.072428,-0.194606,0.033129
-0.218115,-0.034413,1.082268,-0.198871,0.031161
-0.222594,-0.032693,1.101232,-0.199444,0.029091
-0.226849,-0.031058,1.119247,-0.199971,0.027189
-0.230891,-0.029505,1.136362,-0.200455,0.025439
-0.234731,-0.028030,1.158390,-0.199928,0.023711
-0.238379,-0.026628,1.179316,-0.199446,0.022128
-0.241845,-0.025297,1.199197,-0.199003,0.020676
-0.245137,-0.024032,1.218083,-0.198595,0.019339
-0.250188,-0.022831,1.237948,-0.199413,0.018075
-0.254986,-0.021689,1.256820,-0.200165,0.016911
-0.271083,-0.014835,1.270902,-0.210150,0.011416
-0.286375,-0.008324,1.284280,-0.219396,0.006326
-0.306672,-0.002139,1.298912,-0.231853,0.001603
-0.325953,0.005660,1.320505,-0.242002,-0.004162
-0.344271,0.013070,1.341018,-0.251297,-0.009440
-0.361673,0.020108,1.360506,-0.259828,-0.014283
-0.376282,0.026795,1.392480,-0.263921,-0.018574
-0.390160,0.033148,1.422856,-0.267631,-0.022464
-0.403344,0.041106,1.463252,-0.268970,-0.027075
-0.412023,0.050589,1.505474,-0.267142,-0.032400
-0.420268,0.059598,1.545585,-0.265496,-0.037192
-0.428101,0.068157,1.583690,-0.264009,-0.041522
-0.431696,0.078210,1.612198,-0.261631,-0.046826
-0.435111,0.087761,1.639281,-0.259446,-0.051699
-0.436432,0.098758,1.651547,-0.258351,-0.057748
-0.437688,0.109205,1.663201,-0.257326,-0.063412
-0.440803,0.121052,1.660810,-0.259433,-0.070332
-0.437994,0.130384,1.641231,-0.260791,-0.076606
-0.435325,0.139249,1.622631,-0.262111,-0.082697
-0.432789,0.147672,1.604961,-0.263392,-0.088604
-0.424612,0.153750,1.572790,-0.263687,-0.094098
-0.416843,0.159524,1.542227,-0.263978,-0.099524
-0.401770,0.161163,1.501654,-0.261428,-0.103308
-0.387450,0.162720,1.463110,-0.258871,-0.107098
-0.362309,0.158430,1.416878,-0.250345,-0.107910
-0.338424,0.154355,1.372957,-0.241675,-0.108727
-0.306118,0.146637,1.321617,-0.227610,-0.107673
-0.275428,0.139305,1.272844,-0.213102,-0.106563
-0.238579,0.126571,1.218817,-0.193302,-0.101562
-0.203573,0.114473,1.167491,-0.172633,-0.096294
-0.170318,0.099134,1.109117,-0.152371,-0.088117
-0.138725,0.084562,1.053661,-0.130907,-0.079401
-0.108712,0.066872,0.993286,-0.109013,-0.066825
-0.080199,0.050067,0.935929,-0.085481,-0.053249
-0.053112,0.032179,0.875671,-0.060579,-0.036664
-0.027380,0.015186,0.818426,-0.033442,-0.018542
-0.004857,-0.004804,0.764043,-0.006357,0.006288
0.016540,-0.023795,0.712379,0.023213,0.033381
0.033020,-0.041836,0.665222,0.049597,0.062731
0.048677,-0.058975,0.620422,0.078297,0.094483
0.059705,-0.077180,0.581709,0.102279,0.131226
0.070181,-0.094475,0.544931,0.128084,0.170285
0.074364,-0.110905,0.515762,0.143197,0.209702
0.078338,-0.126514,0.488050,0.159155,0.250567
0.080191,-0.141342,0.461725,0.171961,0.292926
0.081950,-0.155429,0.436715,0.185494,0.336495
0.081699,-0.170734,0.414880,0.194434,0.383754
