GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: initialTrainingData
InfoText: This data contains the initial training samples collected, in the format x_orientation, y_orientation, z_orientation, x_accel, y_accel, z_accel.
NumDimensions: 6
TotalNumTrainingExamples: 58
NumberOfClasses: 3
ClassIDsAndCounters: 
1	18
2	20
3	20
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 33
TimeSeriesData: 
162.812	-3.125	-0.5	-1.84	-9.58	15.31
168.375	-8.4375	-1.75	0.18	10.67	16.04
171.312	-8.125	0.625	1.59	6.78	1.04
171.562	-6.1875	0.625	-0.53	0.63	-1.07
172.062	-5.1875	-0.3125	0.04	0.69	-0.23
171.625	-4.1875	-0.9375	-0.08	-0.09	-0.7
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 26
TimeSeriesData: 
170.625	-1.8125	-4.625	0.08	0.02	-0.01
170.75	-1.8125	-4.6875	0.03	0.21	0.29
170.75	-1.6875	-4.6875	-0.1	-0.11	-0.06
170.75	-1.6875	-4.6875	-0.01	-0.09	0.09
170.875	-1.6875	-4.6875	0.04	0.15	-0.12
171	-1.6875	-4.8125	0.02	0.13	0.09
170.875	-1.75	-4.8125	0.01	0.1	0.34
170.75	-1.75	-4.8125	0	-0.08	0.24
170.812	-1.75	-4.9375	0	0.02	0.13
170.75	-1.75	-5.1875	0.11	-0.24	-0.39
170.562	-1.75	-5.6875	0.26	-2.91	-1.86
171.875	-2.6875	-6.3125	1.37	-6.05	1.74
176.062	-3.75	-8.125	-0.24	-5.05	6.77
183.312	-2.4375	-13.0625	0.08	6.16	9.56
188.812	1.75	-17.625	-4.1	11.1	4.98
191.438	6.625	-20.875	-5.11	9.84	-5.25
189.188	12.625	-21.6875	-7.36	4.66	-7.96
183.188	17.375	-20.0625	-6.95	-1.1	-11.44
173.188	19.75	-17	-5.22	-9.45	-11.73
164.562	16.875	-11.25	-1.91	-15.78	-9.68
160.062	7.4375	-9	-1.46	-14.18	2.65
163	-2.6875	-5.1875	-2.77	0.8	19.57
168.625	-7.3125	-5.0625	-2.43	6.71	11.14
173.875	-6.4375	-4.5	1.36	5.53	0.49
174.562	-4	-3.5	0.28	2.34	-1.53
175.312	-3.1875	-3.5625	-0.26	0.39	-0.78
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
173.438	0.4375	-7.75	-0.06	-0.19	0.13
173.562	0.4375	-7.875	0	0.19	-0.45
173.562	0.5	-7.9375	0.03	0.05	-0.06
173.5	0.5	-8	-0.01	0.1	-0.08
173.5	0.4375	-8	0.1	-0.01	0.04
173.5	0.5	-8	-0.09	-0.06	0
173.5	0.5	-7.9375	-0.02	0.01	0.03
173.5	0.5	-7.9375	0.02	0.25	-0.24
173.438	0.4375	-8	0.11	0.21	-0.21
173.25	0.3125	-8.125	0.15	-2.54	-2.44
173.312	-0.3125	-10	2.37	-8.47	1.28
177.75	-3.0625	-8.375	1.4	-6.72	10.32
183.938	-2.25	-9.0625	-2.39	12.29	8.29
189.625	2.375	-16.6875	-4.8	7.81	1.42
192	8.1875	-19.9375	-6.12	8.34	-4.27
191.5	12.625	-23.875	-6.01	3.12	-9.4
185.812	16.3125	-20.6875	-4.56	-3.13	-15.48
178.562	16.6875	-19.75	-1.86	-11.84	-9.72
171.062	12.5	-12.1875	0.12	-15.63	-10.72
166.875	2.125	-8.8125	-3.1	-12.54	12.92
169.875	-6.75	-4.8125	-3.08	1.26	11.68
176	-9.6875	-4.0625	1.72	15.25	10.16
174.125	-6.125	-1.375	-1.19	-1.82	-2.52
175.688	-4.375	-0.5625	1.13	4.6	0.15
174.375	-2.0625	-1.5625	-0.21	-0.86	-2.01
173.688	-0.8125	-2.1875	0.01	-0.09	-1.43
172.812	-0.5	-2	-0.32	-0.86	-0.2
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
173.75	0.4375	-7.875	-0.12	-0.19	-0.03
173.812	0.5	-7.9375	0.07	0	-0.17
173.75	0.4375	-8	-0.11	-0.08	0.18
173.812	0.4375	-8.0625	0.17	0.23	-0.14
173.688	0.5	-8	-0.04	-0.17	0
173.688	0.5	-8.0625	0.07	0.02	-0.07
173.625	0.5	-8.0625	-0.04	0	-0.16
173.688	0.5	-8.1875	0.15	0.14	-0.35
173.562	0.3125	-8.375	-0.08	-0.45	-0.06
173.812	0.3125	-9.375	0.3	-1.2	-1.08
174.438	-0.375	-9.625	0.34	-5.77	0.74
176.688	-1.5	-10.0625	0.57	-5.65	6.55
183.312	-0.4375	-14.1875	-2.32	3.08	7.59
191.688	3.25	-23	-0.63	14.19	2.87
194.812	9.3125	-29.125	-3.81	6.97	-4.65
193.125	14.125	-29.25	-4.37	3.4	-6.02
187.5	18.9375	-27.125	-6.58	-2.22	-11.31
176.75	22.3125	-20.9375	-6.14	-9.51	-12.84
166.375	19.375	-13.5625	-5.87	-11.02	-6.99
161.062	9.5625	-7.25	-5.03	-12.84	1.95
161.5	-1	-5.75	-1.6	-6.88	9.45
165.75	-7.6875	-3.25	-2.49	-0.64	16.13
171.75	-7.625	-3.5	-1.42	5.47	11.64
177.438	-2.4375	-3.375	1.53	9.4	-3.61
178	1.0625	-2.8125	-0.49	1.15	-5.73
177.312	2.6875	-6	-0.38	-0.66	-3.22
176.562	2.5625	-7.8125	-0.37	-0.85	-0.21
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 24
TimeSeriesData: 
172.812	4	-10.875	-0.09	-0.13	0.1
172.875	4	-10.9375	0.1	0.09	-0.03
172.812	4.0625	-10.9375	-0.12	-0.19	-0.07
172.812	4.0625	-10.9375	-0.06	-0.07	0.05
172.875	4.0625	-10.9375	-0.03	0	0.22
172.938	4	-11.0625	-0.1	0.15	0
172.938	4.125	-11.0625	0.21	0.51	-0.55
172.5	4.0625	-11.1875	0.39	-0.21	-1.34
171.688	3.6875	-11.5625	0.74	-5.45	-2.93
172.438	2.6875	-12.75	0.5	-10.09	0.01
179	-1.1875	-15.5625	-0.11	3.73	14.25
187.125	0.0625	-19.5	-2.91	9.25	8.35
195.562	2.25	-23.4375	-2.49	13.28	-1.45
198.312	4.125	-25.75	-4.8	9.31	-7.84
193.062	8.6875	-26.125	-4.96	4.62	-10.8
183.438	12.625	-22.4375	-8.56	-9.07	-8.34
174.938	12.6875	-15.0625	-3.81	-11.41	-5.53
169.875	10.25	-9.4375	-1.41	-11.3	-7.42
166	4.5	-4.8125	0.75	-9.93	-2.11
166.75	-4.125	-3.6875	-0.87	-2.36	15.01
170.062	-7.375	-3.625	-0.52	4.24	15.02
174.125	-5.4375	-3	-0.92	4.54	5.28
176.25	-1.875	-2.6875	0.61	4.11	-3.73
176.5	0.25	-3.125	-0.19	-0.09	-3.31
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 27
TimeSeriesData: 
170.5	4.25	-7.1875	0.08	0.22	-0.09
170.438	4.25	-7.25	0.06	0.12	0.32
170.375	4.3125	-7.1875	-0.16	-0.38	0.07
170.438	4.375	-7.25	0.12	-0.06	0
170.5	4.375	-7.3125	0.04	0.33	0.02
170.375	4.5	-7.375	-0.02	0.19	0.04
170.25	4.625	-7.5	-0.03	0.36	-0.37
169.875	4.8125	-7.8125	0.43	0.19	-1.37
168.75	5	-8.3125	0.51	-2.86	-4.25
167.375	4.875	-14.6875	-0.99	-10.11	4.2
170.312	2.8125	-18.25	-1.14	-7.99	5.41
180.188	0	-23.9375	-1.13	6.46	12.9
