GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: piTrainingData
InfoText: This data contains the initial training samples collected, in the format x_orientation, y_orientation, z_orientation, x_accel, y_accel, z_accel.
NumDimensions: 5
TotalNumTrainingExamples: 60
NumberOfClasses: 3
ClassIDsAndCounters: 
1	20
2	20
3	20
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 43
TimeSeriesData: 
-0.8125	-4.5	-0.93	-0.35	6.72
-1.5	-4.75	-0.66	3.37	3.71
-0.625	-4.125	4.2	6.81	3.85
-0.8125	-1.375	-0.79	3.97	0.84
-0.4375	0.0625	-0.49	1.37	-0.19
0.5625	0	1.47	0.55	-1.18
1.0625	-1.125	1.28	-0.11	0.7
1.1875	-1.6875	-0.92	-1.08	0.48
1.25	-2.0625	1.36	-0.09	0.57
1.25	-2.5625	1.8	0.71	-0.14
1.5	-2.75	-0.42	0.68	0.08
1.625	-2.5625	1.55	-0.42	-0.52
1.5625	-2.5625	-0.42	-0.23	0.1
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 42
TimeSeriesData: 
3.125	-0.0625	-0.06	-0.05	0.06
3.1875	-0.0625	-0.05	-0.02	0.25
3.25	-0.0625	1.45	0.02	0.24
3.25	0	-0.15	-0.1	0.24
3.25	0	-0.16	0.01	0.2
3.3125	0	-0.08	-0.12	0.12
3.3125	0	-0.08	0.08	0.27
3.375	0.0625	-0.01	-0.05	0.24
3.375	0.0625	1.3	-0.12	-0.29
3.375	0.125	2.25	-3.23	-1.79
2.3125	0	-0.18	-7.66	-0.28
1.125	-1.6875	-3.68	-6.24	3.18
2.8125	-5.25	5.08	-2.55	7.23
3	-10.1875	-3.51	7.83	11.35
2.875	-11.5625	-0.64	6.08	1.4
3.625	-13.9375	2.49	9.51	-0.15
6.8125	-13.4375	-0.06	8.95	-3.28
10.5625	-11.75	-1.25	4.67	-6.76
14.1875	-9.25	-0.23	3.65	-7.14
15.125	-6.25	-2.9	-0.81	-8.46
15.8125	-3.875	-2.76	-1.63	-7.57
15.5625	-1.375	-2.87	-4.99	-8.12
13.9375	0.6875	-3.57	-6.78	-7.16
10.25	1.375	-0.98	-8.98	-3.33
6.625	-0.1875	-0.34	-7.68	1.17
2	-2.3125	-0.05	-4.77	6.35
